miRNA,Disease,Category,Evidence_class,Source_as_recorded,Reference_1,Reference_2,Study_type,Method,Validated_targets,Pathway_mechanism,Functional_role,Has_exact_sequence
miR-548a-3p,Colon cancer,Cancer,E1,HMDD,"[27](Wang, M. et al., 2022)",,In vitro,qRT/PCR Luciferase reporter assay,TPX2,Mitotic spindle / proliferation,Tumor suppressor,True
miR-548a-3p,Gastric cancer,Cancer,E1,,"[110](Chen, S. et al., 2020)",,In vitro,qRT/PCR,,,,True
miR-548a-3p,Periodontitis,Inflammatory diseases,E1,HMDD,"[74](Lee et al., 2011)",,In vitro,qRT/PCR,,,,True
miR-548a-3p,Chorioamnionitis,Inflammatory diseases,E1,HMDD,"[71](Son et al., 2019)",,Ex vivo/in silico/In Vitro,qRT/PCR,,,,True
miR-548a-3p,Hepatocellular carcinoma,Cancer,E1,,"[118](Habieb et al., 2019)",,Ex vivo,qRT/PCR,,,,True
miR-548a-3p,Prostate neoplasm,Cancer,E1,HMDD,"[144](Panebianco et al., 2021)",,In vitro,qRT/PCR,,,,True
miR-548a-5p,Hepatocellular carcinoma,Cancer,E1,,"[119](Zhao et al., 2016)",,In vitro,qRT/PCR Flow cytometry,,,,True
miR-548aa,Chorioamnionitis,Inflammatory diseases,E1,HMDD,"[71](Son et al., 2019)",,Ex vivo/in silico/In Vitro,qRT/PCR,,,,True
miR-548ac,Multiple sclerosis,Autoimmune diseases,E1,HMDD,"[29](Hecker et al., 2019)",,Ex vivo / In vitro / In silico,Patient PBMC qRT-PCR; allele-specific miRNA processing assay; miR-548ac overexpression; transcriptomic/microarray analysis; luciferase reporter assay,CD58 (genetic locus),Immune regulation,Immunoregulatory,True
miR-548ac,Laryngeal Carcinoma,Cancer,E1,HMDD,"[50](Song et al., 2020)",,In vitro,qRT/PCR Dual-luciferase reporter assay,,,,True
miR-548ac,Non-Small-Cell Lung Carcinoma,Cancer,E1,,"[94](He et al., 2020)",,In vitro,qRT/PCR Dual-luciferase reporter assay,,,,True
miR-548ac,Gastric cancer,Cancer,E1,,"[111](Chen et al., 2023)",,In vitro,qRT/PCR,,,,True
miR-548ac,Acute Myeloid Leukemia,Cancer,E1,HMDD,"[30](Zhao, C. et al., 2022)",,In vitro / Ex vivo,qRT-PCR; extracellular-vesicle isolation/transfer; miRNA mimic/inhibitor; dual-luciferase reporter assay; Western blot; colony-forming unit assay; TRIM28 rescue,TRIM28,TRIM28/STAT3 signaling; extracellular-vesicle-mediated hematopoietic regulation,,True
miR-548ac-3p,Multiple Sclerosis,Autoimmune diseases,E1,HMDD; HMDD,"[28](Hecker et al., 2015); [29](Hecker et al., 2019);",,In vitro,qRT/PCR eQTL analysis,,,,True
miR-548ad-5p,Acute Pancreatitis,Inflammatory diseases,E1,HMDD,"[78](Qu et al., 2023)",,Ex vivo In silico,qRT/PCR GO and KEGG analysis,,,,True
miR-548ag,Endometrial cancer,Cancer,E1,HMDD,"[140](Pang, H. et al., 2023)",,Ex vivo In vitro In silico,qRT/PCR Dual-luciferase reporter assay TargetScan11 and miRDB,,,,True
miR-548ah,Chronic Hepatitis B infection,Infectious diseases,E1,HMDD,"[31](Xing et al., 2014); [32](Xing et al., 2019)",,Ex vivo In vitro In silico,qRT/PCR Dual-luciferase reporter assay TargetScan11 and Kyoto encyclopedia,HDAC4,Epigenetic regulation of viral replication,Pro-viral,False
miR-548ah-3p,Hepatocellular carcinoma,Cancer,E1,HMDD,"[120](Wang, L. et al., 2022)",,In vivo Ex vivo In vitro,qRT/PCR,,,,True
miR-548ah-5p,Small Cell Lung Carcinoma,Cancer,E1,HMDD,"[101](Mo et al., 2020)",,In vitro In silico,qRT/PCR KEGG analysis,,,,True
miR-548ai,Chorioamnionitis,Inflammatory diseases,E1,HMDD,"[71](Son et al., 2019)",,Ex vivo/in silico/In Vitro,qRT/PCR,,,,True
miR-548ai,Prostate neoplasm,Cancer,E1,HMDD,"[145](Valera et al., 2020)",,Ex vivo,qRT/PCR,,,,True
miR-548an,Influenza A infection,Infectious diseases,E1,HMDD,"[24]Zheng et al., 2014","[33](Othumpangat et al., 2013)",In vivo In vitro,qRT/PCR Dual-luciferase reporter assay Inmunoprecipitation,NS1A-binding protein,Host antiviral response,Host regulator,True
miR-548an,Pancreatic cancer,Cancer,E1,HMDD,"[115](Zhu, et al., 2016)",,In vitro,qRT/PCR Flow cytometry,,,,True
miR-548am-5p,Early-Stage Colon Adenocarcinoma,Cancer,E1,HMDD,"[124](Liu, J. et al., 2017)",,Ex vivo In silico,qRT/PCR miRWalk,,,,True
miR-548ao-3p,Hypopharyngeal squamous cell carcinoma,Cancer,E1,HMDD,"[109](Yan, J. et al., 2020)",,Ex vivo In vitro,qRT/PCR Dual-luciferase reporter assay,,,,True
miR-548aq-5p,Non-Small-Cell Lung Carcinoma,Cancer,E1,HMDD,"[95](Ma et al., 2017)",,Ex vivo,qRT/PCR,,,,True
miR-548aq-5p,Breast cancer,Cancer,E1,HMDD,"[22]Yang B. et al., 2023",,Ex vivo,qRT/PCR,,,,True
miR-548ar-5p,Follicular Variant Papillary Thyroid Cancer,Cancer,E1,HMDD,"[147](Macerola et al., 2022)",,Ex vivo,nCounter expression essay qRT/PCR,,,,True
