miRNA,Validated_targets,Disease,Pathway_mechanism,Functional_role,Method,References
miR-548a-3p,TPX2,Colon cancer,Mitotic spindle / proliferation,Tumor suppressor,qRT/PCR Luciferase reporter assay,"[27](Wang, M. et al., 2022)"
miR-548ac,CD58 (genetic locus),Multiple sclerosis,Immune regulation,Immunoregulatory,Patient PBMC qRT-PCR; allele-specific miRNA processing assay; miR-548ac overexpression; transcriptomic/microarray analysis; luciferase reporter assay,"[28](Hecker et al., 2015); [29](Hecker et al., 2019)"
miR-548ac,TRIM28,Acute Myeloid Leukemia,TRIM28/STAT3 signaling; extracellular-vesicle-mediated hematopoietic regulation,Hematopoietic suppressor,qRT-PCR; extracellular-vesicle isolation/transfer; miRNA mimic/inhibitor; dual-luciferase reporter assay; Western blot; colony-forming unit assay; TRIM28 rescue,"[30](Zhao, C. et al., 2022)"
miR-548ah,HDAC4,Chronic Hepatitis B infection,Epigenetic regulation of viral replication,Pro-viral,qRT/PCR Dual-luciferase reporter assay TargetScan11 and Kyoto encyclopedia,"[31](Xing et al., 2014); [32](Xing et al., 2019)"
miR-548an,NS1A-binding protein,Influenza A infection,Host antiviral response,Host regulator,qRT/PCR Dual-luciferase reporter assay Inmunoprecipitation,"[24](Zheng et al., 2014), [33](Othumpangat et al., 2013)"
miR-548b-3p,MDM2,Breast cancer,p53 signaling pathway,Tumor suppressor,qRT/PCR Dual-luciferase reporter assay,"[34](Sha et al,. 2020)"
miR-548b-3p,HMGB1,Melanoma,Inflammatory signaling,Tumor suppressor,qRT/PCR Dual-luciferase reporter assay,"[16](Feng, 2021)"
miR-548c-3p,HIF1A,Papillary thyroid carcinoma,Hypoxia signaling (HIF1α/VEGF axis),Tumor suppressor,qRT/PCR,"[35](Du et al., 2019)"
miR-548c-3p,E2F3,Triple negative Breast cancer,Cell cycle progression,Tumor suppressor,qRT/PCR Dual-luciferase reporter assay,"[36](Wang, X. et al., 2021); [37](Tormo, E. et al., 2015)"
miR-548c-3p,E2F3,Breast cancer,Cell cycle progression,Tumor suppressor,qRT-PCR,"[38](Tan et al., 2020)"
miR-548c-3p,UBE2T LAMC2,Hepatocellular carcinoma,EMT signaling (miR-548c-3p/LAMC2 axis),Tumor suppressor,qRT/PCR Dual-luciferase reporter assay FISH,"[11](Chen et al., 2022); [39](Jin et al., 2020)"
miR-548c-3p,TWIST,Ovarian cancer,Cell migration and invasion,Tumor suppressor,qRT/PCR Dual-luciferase reporter assay,"[40](Sun, X. et al., 2016)"
miR-548c-5p,PGK1 HIF1A,Colorectal cancer,Glycolysis / metabolic reprogramming Signal trasduction/regulate CDC42,Tumor suppressor,FISH assay qRT/PCR Dual-luciferase reporter assay,"[41](Li, C. et al., 2022); [42](Ge, J. et al., 2019); [43](Yan, S. et al., 2020); [44](Peng, Z. et al., 2019)"
miR-548c-5p,PTPRO,Preeclampsia,Inflammatory signaling modulation,Anti-inflammatory,qRT/PCR,"[45](Wang, Z. et al., 2019)"
miR-548d-3p,KRAS,Osteosarcoma,MAPK/ERK signaling,Tumor suppressor,Microarray analysis Dual/luciferase reporter assay qRT-PCR,"[46](Chen et al., 2019)"
miR-548d-3p,RSK4 KLF9,Gastric cancer,MAPK signaling regulation TPTEP1 regulates miR-548d-3p/KLF9/PER1 axis,Oncogenic,Microarray assay qRT/PCR Dual-luciferase reporter assay,"[47](Huang et al., 2022); [48](Liang et al., 2020); [49](Yu et al., 2022)"
miR-548d-3p,TP53BP2,Breast cancer,Apoptosis regulation,Context-dependent,qRT/PCR Dual-luciferase reporter assay,"[50](Song et al., 2016)"
miR-548d-3p,SOCS5/SOCS6,Oral squamous cell carcinoma,JAK–STAT signaling pathway,Oncogenic,qRT-PCR,"[51](Tan et al., 2019) "
miR-548d,MYCC,Medulloblastoma,MYCC signaling,Tumor suppressor,qRT/PCR Dual-luciferase reporter assay,"[52](Lv et al., 2012)"
miR-548e-3p,CXCR4,Ovarian cancer,ZFAS1–miR-548e–CXCR4,Tumor suppressor,qRT-PCR/luciferase reporter/RNA Immunoprecipitation/xenograft model,"[53](Zhang, J. et al., 2020)"
miR-548g-3p,Viral replication factors,Dengue virus infection,Viral replication inhibition,Antiviral,Experimental support reported; method detail not specified in curated source,"[54](Wen et al., 2015)"
miR-548g,RUNX1,Gastric cancer,circFAT1(e2)/miR-548g/RUNX1,Oncogenic,qRT-PCR/ luciferase reporter/ RNA immuneprecipitation,"[55](Fang et al., 2019)"
miR-548i,NFATC3,Hepatocellular carcinoma,"JNK, c-Jun, AKT, and mTOR signaling pathways",Oncogenic,qRT-PCR/xenograft model/Luciferase reporter,"[56](Jia et al., 2021)"
miR-548k,CXCL13,Myasthenia Gravis,Myasthenia Gravis,Pro-pathogenesis,Microarray/qRT-PCR/ luciferase reporter assay,"[57](Li et al., 2018)"
miR-548k,lncRNA-LET,Esophageal Squamous Cell Carcinoma,NF90/lncRNA-LET/miR-548k feedback amplification loop,Oncogenic,qRT-PCR/RNA Immunoprecipitation/xenograft model,"[58](Lin, J. et al., 2019)"
miR-548l,KPNA4/AGO1,Non-Small-Cell Lung Carcinoma,/ PI3K/AKT/mTOR signaling pathway,Tumor suppressor,dual-luciferase reporter and RNA immunoprecipitation/qRT-PCR-Luciferase reporter-In Situ Hybridization,"[21](Yang et al., 2023); [59](Wang, X. et al., 2022)"
miR-548l,KIF2C,Bladder cancer,circRGNEF/ miR-548l/KIF2C,Oncogenic,luciferase reporter/qRT-PCR,"[60](Yang et al., 2020)"
miR-548l-5p,ST3GAL5,Hepatocellular carcinoma,miR-548l-5p//ST3GAL5,Tumor suppressor,qRT-PCR/microarrays/xenogrft model/Luciferase reporter,"[61](Cai et al., 2017)"
miR-548m,CD81,Hepatitis C infection,Viral entry receptor regulation,Antiviral,flow cytometry/qRT-PCR/luciferase reporter,"[18](Mekky et al., 2019)"
miR-548m,PTEN,Systemic Lupus Erythematosus,miR-548m/PTEN,Pro-pathogenesis,luciferase reporter assay,"[62](Yang et al., 2022)"
miR-548m,MED31,Glioma,circ-GLIS3/miR-548m/MED31,Tumor suppressor,knockdown/knockout?,"[63](Li & Lan, 2023)"
miR-548m,HDAC6,Non-Hodgkin Lymphoma,c-Myc/miR-548m/HDAC6 axis,Tumor suppressor,qRT-PCR/luciferase reporter assay,"[64](Lwin, T. et al., 2013)"
miR-548m,AHR,Breast cancer,AHR/EMT–mTOR signaling,Tumor suppressor,qRT-PCR/Dual-Luciferase Reporter,"[65](Wm Nor et al., 2021)"
miR-548n,E2F3,Breast cancer,E2F2 signaling pathway,Tumor suppressor,qRT-PCR,"[38](Tan et al., 2020)"
miR-548o-3p,ROBO1,Non-Small-Cell Lung Carcinoma,ROBO1/Wnt–β-catenin,Cisplatin sensitization,qrt-PCR/microarrays/xenogrft model,"[25](Zheng et al., 2021)"
miR-548p,Notch2,Breast cancer,Notch signaling pathway,Oncogenic,"RNA pull-down, dual-luciferase reporter, and qRT-PCR/in vivo","[66](Huang, X. et al., 2023)"
miR-548p,TUFT1,Hepatocellular carcinoma,EMT / metastasis,Oncogenic,Dual-luciferase reporter-RNA immunoprecipitation-xenograft model/qRT-PCR-chromatin immunoprecipitation and luciferase activity assay/dual-luciferase reporter,"[67](Wang, Y. et al., 2022); [68](Li, Z. et al., 2022); [69](Zhang et al., 2019)"
miR-548t-5p,CXCL11,Pancreatic carcinoma,YY1/miR-548t-5p/CXCL11 axis,Tumor suppressor,luciferase reporter gene/chromatin immunoprecipitation (ChIP)/functional recovery assays,"[70](Ge, W. et al., 2020)"
miR-548x-5p,HMGB1,Chorioamnionitis,miR-548/HMGB1 inflammatory axis,Inflammation suppression,qRT-PCR,"[71](Son et al., 2019)"
miR-548z,GKN1,Gastric cancer,miR-548d-3p/GKN1 axis,Tumor suppression,Microarray assay qRT/PCR Dual-luciferase reporter assay,"[49](Yu, S. et al., 2022)"
